# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cycles:u'
# Event count (approx.): 65150674632
#
# Overhead  Command          Symbol                                                                                                   Shared Object                      IPC   [IPC Coverage]
# ........  ...............  .......................................................................................................  .................................  ....................
#
     0.05%  wine_dmsynth_si  [.] 0x000000006fd72d94                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dmsynth_si  [.] 0x00000000f7892690                                                                                   [JIT] tid 52726                    -      -            
     0.05%  mgs2_sse_rg353v  [.] 0x0000000074669708                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dinput_wor  [.] 0x000000006fd48b04                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wined3d_cs       [.] 0x00000000001e97ac                                                                                   libmali.so.1.10.0                  -      -            
     0.05%  mgs2_sse_rg353v  [.] 0x00000000f787819c                                                                                   [JIT] tid 52726                    -      -            
     0.05%  mgs2_sse_rg353v  [.] __aeabi_d2ulz                                                                                        box86                              -      -            
     0.05%  mgs2_sse_rg353v  [.] 0x00000000f787b488                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dmsynth_si  [.] 0x000000006fd73928                                                                                   [JIT] tid 52726                    -      -            
     0.05%  mgs2_sse_rg353v  [.] 0x000000006fce7c94                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wined3d_cs       [.] 0x000000007298fa58                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dmsynth_si  [.] 0x000000006fd743bc                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dmsynth_si  [.] 0x000000006fd73760                                                                                   [JIT] tid 52726                    -      -            
     0.05%  mgs2_sse_rg353v  [.] 0x0000000072939b50                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dmsynth_si  [.] 0x000000006fd7452c                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dmsynth_si  [.] 0x000000006fd73838                                                                                   [JIT] tid 52726                    -      -            
     0.05%  mgs2_sse_rg353v  [.] 0x000000007292a780                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dmsynth_si  [.] 0x000000006fd73904                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dmsynth_si  [.] 0x000000006fd73924                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wined3d_cs       [.] 0x00000000001e97be                                                                                   libmali.so.1.10.0                  -      -            
     0.05%  mgs2_sse_rg353v  [.] 0x000000006e15b858                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wined3d_cs       [.] 0x000000007299d0d4                                                                                   [JIT] tid 52726                    -      -            
     0.05%  mgs2_sse_rg353v  [.] 0x000000007463134c                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wined3d_cs       [.] 0x00000000f79875f4                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wined3d_cs       [.] 0x000000007299ece4                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wined3d_cs       [.] 0x000000000120c790                                                                                   libmali.so.1.10.0                  -      -            
     0.05%  wined3d_cs       [.] 0x000000000009c530                                                                                   libc.so.6                          -      -            
     0.05%  mgs2_sse_rg353v  [.] 0x000000006fd0d1e8                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dmime_mess  [.] 0x00000000f78a3ff0                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dmsynth_si  [.] 0x000000006fd735e8                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wined3d_cs       [.] 0x000000007299943c                                                                                   [JIT] tid 52726                    -      -            
     0.05%  mgs2_sse_rg353v  [.] 0x00000000f78542cc                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd74bd4                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd735fc                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd72eac                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] __aeabi_d2lz                                                                                         box86                              -      -            
     0.04%  wined3d_cs       [.] 0x00000000012198e0                                                                                   libmali.so.1.10.0                  -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd72ec0                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x000000006fdaac5c                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd72de0                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x00000000746697c0                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd72e44                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dinput_wor  [.] 0x00000000f780bf58                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] getNeedTest                                                                                          box86                              -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x0000000072842e68                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd744a0                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x000000007efd1440                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x000000006fd1a8bc                                                                                   [JIT] tid 52726                    -      -            
     0.04%  audio_client_ti  [.] 0x00000000000840c8                                                                                   libasound.so.2.0.0                 -      -            
     0.04%  mgs2_sse_rg353v  [.] iFip                                                                                                 box86                              -      -            
     0.04%  wined3d_cs       [.] 0x000000000120f2b0                                                                                   libmali.so.1.10.0                  -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd72eec                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mali-cmar-backe  [.] 0x00000000013277d4                                                                                   libmali.so.1.10.0                  -      -            
     0.04%  wine_dinput_wor  [.] 0x00000000f787b488                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd73918                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x000000006e073354                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x00000000727fc73c                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd73654                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x00000000728f8938                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x00000000f787b264                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wined3d_cs       [.] 0x00000000011fdf10                                                                                   libmali.so.1.10.0                  -      -            
     0.04%  wined3d_cs       [.] 0x0000000074517aac                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wined3d_cs       [.] 0x000000007299ee28                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd7391c                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] getAlignedMutexWithInit                                                                              box86                              -      -            
     0.04%  wined3d_cs       [.] free                                                                                                 box86                              -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x000000006e15de90                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x00000000f787b2dc                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x0000000072949c68                                                                                   [JIT] tid 52726                    -      -            
     0.04%  data-loop.0      [.] 0x0000000000086000                                                                                   libpipewire-0.3.so.0.1206.0        -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd74510                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wined3d_cs       [.] fseek@plt                                                                                            libmali.so.1.10.0                  -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd57f7c                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd73930                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd72e5c                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd72e88                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x00000000f787b668                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x0000000074669664                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd7361c                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd7448c                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd73700                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd74384                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [k] 0xffffffdafda40d88                                                                                   [unknown]                          -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x000000006e14a1c8                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd72e64                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd735d8                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x000000007c937e78                                                                                   [JIT] tid 52726                    -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x00000000f787b7fc                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd73934                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wined3d_cs       [.] 0x000000006fc463d8                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wine_dmsynth_si  [.] 0x000000006fd745f4                                                                                   [JIT] tid 52726                    -      -            
     0.04%  wined3d_cs       [.] 0x0000000001326260                                                                                   libmali.so.1.10.0                  -      -            
     0.04%  mgs2_sse_rg353v  [.] 0x00000000f787b784                                                                                   [JIT] tid 52726                    -      -            
