# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cycles:u'
# Event count (approx.): 65150674632
#
# Overhead  Command          Symbol                                                                                                   Shared Object                      IPC   [IPC Coverage]
# ........  ...............  .......................................................................................................  .................................  ....................
#
     0.01%  wined3d_cs       [.] 0x0000000001325aa0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e0ae980                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000009c1b4                                                                                   libc.so.6                          -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f7802d94                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc01cc0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007299d808                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd70910                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e12b840                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000121daae                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x0000000001226508                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc01b08                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000000228004                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x0000000000233560                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000011eb880                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000745d2928                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd72378                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc00df0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000072994750                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000729a5740                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fd2e944                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc09c00                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007299d104                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dsound_mix  [.] 0x0000000072800a18                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e025dc0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000729528f0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000001225762                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000007299e2f0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000121b402                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000011f49a6                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000007293c950                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f79a0de0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000001b0d5e                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000001eded0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000002293fe                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000001b2320                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x0000000000237704                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000000020d3be                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000006e17afa4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000745c30f0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e0e651c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007299dca8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000131173e                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000011ef4d6                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000011fb400                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000729536dc                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc02e88                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000001b1a5c                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000011f4bc0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000745ef564                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000072999b4c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000011f48b4                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x0000000074518b58                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000745c91bc                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc435c0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] glEnable                                                                                             libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000007299ad80                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000074517e08                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007299ee40                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007299ac80                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000011ed2f4                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000001f09b8                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000000120f78a                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc02c30                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000011f5e80                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000000120f9c0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000011fdfb6                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000729a4f3c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fdde700                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x0000000072948608                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000012256e2                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000000120c6ee                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000001f1f78                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000745fbd98                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000745fbe24                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd5bbd0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007451d468                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007299e170                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000023c852                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc018c0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] pFppL                                                                                                box86                              -      -            
     0.01%  wined3d_cs       [.] 0x000000000120dce0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000000121b044                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fc34550                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc09cb4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000148f1e0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc463c8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc4644c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000001f5e7a                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd737e0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000729a7a38                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000072999ae0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000729a0a80                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000120ed00                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000001f21be                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] pthread_condattr_init                                                                                libc.so.6                          -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fc11b00                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000744ec45c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e031ba8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000074512640                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fce6f40                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc03490                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000001b0b7e                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000000132f9d4                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000007299f8cc                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000120b35e                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f79712b8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006e179740                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000120c338                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000013264cc                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fdb0250                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e020a34                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000020d240                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000000132f2f2                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000007eed2c64                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000729543f8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000007285b9c0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000120e768                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x0000000001202100                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000745e3c50                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000072994708                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000728b3e0c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007f00a2c0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000023262c                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000000120fcb8                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fc64730                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000001311d20                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000745f3260                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000130ff20                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000011fdca0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000013168c0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000007299e480                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007299e730                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f787b2ec                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000072999b00                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000132970e                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000000120ce20                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x0000000074513640                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000074518740                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000021b6fe                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000007299b3b0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e0ad068                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000023c848                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000f782baa4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000120faec                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dsound_mix  [.] 0x000000006fd29cb0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000000211c30                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000000121b4e2                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000745fbea0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000072999b8c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e02cb80                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc4578c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000072978d90                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000132b6e4                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dsound_mix  [.] 0x00000000728060fc                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007299ee50                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000001449fa0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mali-cmar-backe  [.] 0x000000000144a760                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e0fbdac                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd61578                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fce75c0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000729a60c0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000729a7ce0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000745c89a8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000001f1efe                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc46844                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000744ecbec                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e15b588                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc434b4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000000231280                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x0000000074513610                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000023085c                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000001dec00                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000000120cbd4                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000f780be14                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x0000000072934d10                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000744f116c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000001226100                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000001b2092                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000013133c0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000001f21b6                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e03038c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000012272d8                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000007299d418                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fc653f0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000001203886                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000000120fde0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fd1aa20                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000f7878388                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000f79cdd2c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000072984c40                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000021d9f6                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000745d2600                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000001b0ce0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x0000000072949d64                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000002367c0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x0000000072999e74                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000745c9d2c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007450f200                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000744ecc68                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e03bcc0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000000233980                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000006fd2e7c0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000f7896800                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000132f226                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e032500                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000011f4a9a                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dsound_mix  [.] 0x00000000728042b4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e10a984                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000011fc5f6                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x0000000072999140                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000011e82ac                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000000132f234                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000000009c194                                                                                   libc.so.6                          -      -            
     0.01%  wined3d_cs       [.] 0x000000007299d8f4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000000509ce4                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000000128d3c0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x0000000000232520                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000011ff2c0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x0000000072999ec0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e03c340                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000011e8058                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000011e8110                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000006e170908                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e00a2a4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000072998578                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc435e0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007299d120                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000745ca880                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e104b3c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000021b6f8                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc01dc4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000013117cc                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000011f506c                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] add_range_next_to                                                                                    box86                              -      -            
     0.01%  wined3d_cs       [.] 0x00000000729992e4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000002321fc                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000001f20b6                                                                                   libmali.so.1.10.0                  -      -            
