# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles:u'
# Event count (approx.): 29967404716
#
# Overhead  Symbol                               Shared Object                     IPC   [IPC Coverage]
# ........  ...................................  ................................  ....................
#
     0.04%  [.] 0x00000000012256a0               libmali.so.1.10.0                 -      -            
     0.04%  [.] 0x000000000023ca06               libmali.so.1.10.0                 -      -            
     0.04%  [.] 0x00000000f754ad10               [JIT] tid 45815                   -      -            
     0.04%  [.] __libc_calloc@plt                box86                             -      -            
     0.04%  [.] 0x0000000072998b70               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000744d5164               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000072a6da3c               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000072a61750               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000007453b680               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000745229a4               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000729b1504               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000f74f5b70               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000f73f8440               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000745d7df4               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006fb7d8b4               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000074521edc               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000f754cce4               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000072a61cfc               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000f73f833c               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000f73ffd10               [JIT] tid 45815                   -      -            
     0.04%  [.] __ioctl_time64                   libc.so.6                         -      -            
     0.04%  [.] 0x000000007ca3fc14               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000072a024ec               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000f73f8278               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006fb7d218               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000745f68cc               [JIT] tid 45815                   -      -            
     0.04%  [k] 0xffffffdafdb15c80               [unknown]                         -      -            
     0.04%  [.] 0x00000000000896d0               libc.so.6                         -      -            
     0.04%  [.] 0x000000006e49c1b0               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000072a61d90               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000072a61bfc               [JIT] tid 45815                   -      -            
     0.04%  [.] glScissor                        libmali.so.1.10.0                 -      -            
     0.04%  [.] 0x00000000f73d1268               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000072a61ad8               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006fbd4954               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006e485be0               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006e488f10               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006e492928               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000011f51b4               libmali.so.1.10.0                 -      -            
     0.04%  [.] 0x00000000f73f8388               [JIT] tid 45815                   -      -            
     0.04%  [k] 0xffffffdafdb15c7c               [unknown]                         -      -            
     0.04%  [.] 0x00000000f73f8610               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006fb18294               [JIT] tid 45815                   -      -            
     0.04%  [k] 0xffffffdafdb15c70               [unknown]                         -      -            
     0.04%  [k] 0xffffffdafdb15c88               [unknown]                         -      -            
     0.04%  [k] 0xffffffdafdb15cbc               [unknown]                         -      -            
     0.04%  [.] 0x0000000072a44e28               [JIT] tid 45815                   -      -            
